LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
FIN,HHDI,NET,AGRWTH,A,2003,3.398931396,
FIN,HHDI,NET,AGRWTH,A,2004,4.184825718,
FIN,HHDI,NET,AGRWTH,A,2005,1.482732688,
FIN,HHDI,NET,AGRWTH,A,2006,2.066003248,
FIN,HHDI,NET,AGRWTH,A,2007,3.232262877,
FIN,HHDI,NET,AGRWTH,A,2008,2.305280506,
FIN,HHDI,NET,AGRWTH,A,2009,0.815627431,
FIN,HHDI,NET,AGRWTH,A,2010,2.421177129,
FIN,HHDI,NET,AGRWTH,A,2011,0.7449671,
FIN,HHDI,NET,AGRWTH,A,2012,-0.027874584,
FIN,HHDI,NET,AGRWTH,A,2013,0.025761343,
FIN,HHDI,NET,AGRWTH,A,2014,-0.431820619,
FIN,HHDI,NET,AGRWTH,A,2015,1.128558534,
FIN,HHDI,NET,AGRWTH,A,2016,1.86741252,
FIN,HHDI,NET,AGRWTH,A,2017,0.984016867,
FIN,HHDI,NET,AGRWTH,A,2018,2.003598337,
FIN,HHDI,NET,AGRWTH,A,2019,1.801490617,
FRA,HHDI,NET,AGRWTH,A,1979,1.043044371,
FRA,HHDI,NET,AGRWTH,A,1980,0.534525498,
FRA,HHDI,NET,AGRWTH,A,1981,1.753004557,
FRA,HHDI,NET,AGRWTH,A,1982,2.723279159,
FRA,HHDI,NET,AGRWTH,A,1983,0.389313893,
FRA,HHDI,NET,AGRWTH,A,1984,-0.262532904,
FRA,HHDI,NET,AGRWTH,A,1985,1.358217299,
FRA,HHDI,NET,AGRWTH,A,1986,2.767130313,
FRA,HHDI,NET,AGRWTH,A,1987,1.714243553,
FRA,HHDI,NET,AGRWTH,A,1988,3.263523055,
FRA,HHDI,NET,AGRWTH,A,1989,3.443864323,
FRA,HHDI,NET,AGRWTH,A,1990,3.979037052,
FRA,HHDI,NET,AGRWTH,A,1991,1.433364407,
FRA,HHDI,NET,AGRWTH,A,1992,2.690358622,
FRA,HHDI,NET,AGRWTH,A,1993,0.955040252,
FRA,HHDI,NET,AGRWTH,A,1994,0.644398088,
FRA,HHDI,NET,AGRWTH,A,1995,2.112537694,
FRA,HHDI,NET,AGRWTH,A,1996,1.195150361,
FRA,HHDI,NET,AGRWTH,A,1997,1.302814181,
FRA,HHDI,NET,AGRWTH,A,1998,2.9525767,
FRA,HHDI,NET,AGRWTH,A,1999,2.798108961,
FRA,HHDI,NET,AGRWTH,A,2000,3.338732243,
FRA,HHDI,NET,AGRWTH,A,2001,3.013817909,
FRA,HHDI,NET,AGRWTH,A,2002,3.066155961,
FRA,HHDI,NET,AGRWTH,A,2003,0.956716769,
FRA,HHDI,NET,AGRWTH,A,2004,2.040621661,
FRA,HHDI,NET,AGRWTH,A,2005,1.228082163,
FRA,HHDI,NET,AGRWTH,A,2006,2.516391176,
FRA,HHDI,NET,AGRWTH,A,2007,2.919591694,
FRA,HHDI,NET,AGRWTH,A,2008,0.531556304,
FRA,HHDI,NET,AGRWTH,A,2009,1.81583009,
FRA,HHDI,NET,AGRWTH,A,2010,1.77291015,
FRA,HHDI,NET,AGRWTH,A,2011,0.345921534,
FRA,HHDI,NET,AGRWTH,A,2012,0.07483632,
FRA,HHDI,NET,AGRWTH,A,2013,-0.588110887,
FRA,HHDI,NET,AGRWTH,A,2014,1.36494182,
FRA,HHDI,NET,AGRWTH,A,2015,0.991272478,
FRA,HHDI,NET,AGRWTH,A,2016,1.694453973,
FRA,HHDI,NET,AGRWTH,A,2017,1.64671145,
FRA,HHDI,NET,AGRWTH,A,2018,1.184279884,E
FRA,HHDI,NET,AGRWTH,A,2019,1.968025254,E
DEU,HHDI,NET,AGRWTH,A,1996,1.778654739,
DEU,HHDI,NET,AGRWTH,A,1997,0.544448655,
DEU,HHDI,NET,AGRWTH,A,1998,1.33334804,
DEU,HHDI,NET,AGRWTH,A,1999,1.725210131,
DEU,HHDI,NET,AGRWTH,A,2000,0.340380005,
DEU,HHDI,NET,AGRWTH,A,2001,2.245985837,
DEU,HHDI,NET,AGRWTH,A,2002,-0.924626317,
DEU,HHDI,NET,AGRWTH,A,2003,0.971997018,
DEU,HHDI,NET,AGRWTH,A,2004,0.471014935,
DEU,HHDI,NET,AGRWTH,A,2005,0.717655068,
DEU,HHDI,NET,AGRWTH,A,2006,1.029352379,
DEU,HHDI,NET,AGRWTH,A,2007,0.170037955,
DEU,HHDI,NET,AGRWTH,A,2008,0.818209117,
DEU,HHDI,NET,AGRWTH,A,2009,-0.320444241,
DEU,HHDI,NET,AGRWTH,A,2010,0.834764034,
DEU,HHDI,NET,AGRWTH,A,2011,1.624911602,
DEU,HHDI,NET,AGRWTH,A,2012,0.863047023,
DEU,HHDI,NET,AGRWTH,A,2013,0.313814043,
DEU,HHDI,NET,AGRWTH,A,2014,1.691632699,
DEU,HHDI,NET,AGRWTH,A,2015,2.427598417,
DEU,HHDI,NET,AGRWTH,A,2016,3.134878125,
DEU,HHDI,NET,AGRWTH,A,2017,1.692100568,
DEU,HHDI,NET,AGRWTH,A,2018,1.830167482,
DEU,HHDI,NET,AGRWTH,A,2019,1.76616218,
GRC,HHDI,NET,AGRWTH,A,1996,0.565565377,
GRC,HHDI,NET,AGRWTH,A,1997,0.502695065,
GRC,HHDI,NET,AGRWTH,A,1998,4.256146132,
GRC,HHDI,NET,AGRWTH,A,1999,2.146676462,
GRC,HHDI,NET,AGRWTH,A,2000,0.329436853,
GRC,HHDI,NET,AGRWTH,A,2001,3.681707841,
GRC,HHDI,NET,AGRWTH,A,2002,4.447113859,
GRC,HHDI,NET,AGRWTH,A,2003,7.609654805,
GRC,HHDI,NET,AGRWTH,A,2004,3.222005654,
GRC,HHDI,NET,AGRWTH,A,2005,0.568850482,
GRC,HHDI,NET,AGRWTH,A,2006,5.395508544,
GRC,HHDI,NET,AGRWTH,A,2007,3.153834978,
GRC,HHDI,NET,AGRWTH,A,2008,0.836258189,
GRC,HHDI,NET,AGRWTH,A,2009,0.631397784,
GRC,HHDI,NET,AGRWTH,A,2010,-8.453748089,B
GRC,HHDI,NET,AGRWTH,A,2011,-11.99497019,
GRC,HHDI,NET,AGRWTH,A,2012,-11.89691415,
GRC,HHDI,NET,AGRWTH,A,2013,-5.761811509,
GRC,HHDI,NET,AGRWTH,A,2014,1.738615843,
GRC,HHDI,NET,AGRWTH,A,2015,1.296192169,
GRC,HHDI,NET,AGRWTH,A,2016,-1.251073376,
GRC,HHDI,NET,AGRWTH,A,2017,1.312600376,E
GRC,HHDI,NET,AGRWTH,A,2018,1.404012893,E
GRC,HHDI,NET,AGRWTH,A,2019,3.832117792,E
HUN,HHDI,NET,AGRWTH,A,1996,-2.952482365,
HUN,HHDI,NET,AGRWTH,A,1997,-0.400079448,
HUN,HHDI,NET,AGRWTH,A,1998,1.932142959,
HUN,HHDI,NET,AGRWTH,A,1999,1.308491633,
HUN,HHDI,NET,AGRWTH,A,2000,1.384626081,
HUN,HHDI,NET,AGRWTH,A,2001,5.319893745,
HUN,HHDI,NET,AGRWTH,A,2002,5.333108317,
HUN,HHDI,NET,AGRWTH,A,2003,6.303444698,
HUN,HHDI,NET,AGRWTH,A,2004,5.699462025,
